Orthogroup	ahos	apis
OG0004510	ahos|F4B8Y7	
OG0004511	ahos|F4BA45	
OG0004512	ahos|F4B940	
OG0004513	ahos|F4B5X4	
OG0004514	ahos|F4B5N4	
OG0004515	ahos|F4B4V2	
OG0004516	ahos|F4B952	
OG0004517	ahos|F4B6T0	
OG0004518	ahos|F4B4A8	
OG0004519	ahos|F4B7B3	
OG0004520	ahos|F4B8X0	
OG0004521	ahos|F4B6H7	
OG0004522	ahos|F4B447	
OG0004523	ahos|F4B492	
OG0004524	ahos|F4B622	
OG0004525	ahos|F4B6H2	
OG0004526	ahos|F4B438	
OG0004527	ahos|F4B6W5	
OG0004528	ahos|F4B955	
OG0004529	ahos|F4B3M3	
OG0004530	ahos|F4B7P1	
OG0004531	ahos|F4B9P5	
OG0004532	ahos|F4B5U2	
OG0004533	ahos|F4B537	
OG0004534	ahos|F4B5A4	
OG0004535	ahos|F4B9A0	
OG0004536	ahos|F4B4R3	
OG0004537	ahos|F4B6K5	
OG0004538	ahos|F4B3U4	
OG0004539	ahos|F4B9C6	
OG0004540	ahos|F4B4T9	
OG0004541	ahos|F4B6Y1	
OG0004542	ahos|F4B5T9	
OG0004543	ahos|F4B934	
OG0004544	ahos|F4B412	
OG0004545	ahos|F4B4M4	
OG0004546	ahos|F4BA05	
OG0004547	ahos|F4B551	
OG0004548	ahos|F4B4N1	
OG0004549	ahos|F4B962	
OG0004550	ahos|F4B853	
OG0004551	ahos|F4B7B8	
OG0004552	ahos|F4B475	
OG0004553	ahos|F4B3L3	
OG0004554	ahos|F4B4U5	
OG0004555	ahos|F4B8G4	
OG0004556	ahos|F4B545	
OG0004557	ahos|F4B528	
OG0004558	ahos|F4B3N0	
OG0004559	ahos|F4B4Q2	
OG0004560	ahos|F4B7U4	
OG0004561	ahos|F4B671	
OG0004562	ahos|F4BA37	
OG0004563	ahos|F4B7F6	
OG0004564	ahos|F4B903	
OG0004565	ahos|F4B7T8	
OG0004566	ahos|F4B750	
OG0004567	ahos|F4B6Z5	
OG0004568	ahos|F4B3P7	
OG0004569	ahos|F4B6S9	
OG0004570	ahos|F4B489	
OG0004571	ahos|F4B7Q6	
OG0004572	ahos|F4B8W3	
OG0004573	ahos|F4B5J3	
OG0004574	ahos|F4B990	
OG0004575	ahos|F4B9L7	
OG0004576	ahos|F4B9L3	
OG0004577	ahos|F4B7I6	
OG0004578	ahos|F4B4Y6	
OG0004579	ahos|F4B6U1	
OG0004580	ahos|F4B6D7	
OG0004581	ahos|F4B408	
OG0004582	ahos|F4B4H9	
OG0004583	ahos|F4B5L8	
OG0004584	ahos|F4B4D1	
OG0004585	ahos|F4B5X6	
OG0004586	ahos|F4B3R9	
OG0004587	ahos|F4B4N7	
OG0004588	ahos|F4B757	
OG0004589	ahos|F4B5T1	
OG0004590	ahos|F4B5H8	
OG0004591	ahos|F4B9L2	
OG0004592	ahos|F4B3M9	
OG0004593	ahos|F4B463	
OG0004594	ahos|F4B9A2	
OG0004595	ahos|F4B7Z5	
OG0004596	ahos|F4B8G0	
OG0004597	ahos|F4B5N9	
OG0004598	ahos|F4B4B6	
OG0004599	ahos|F4B9G1	
OG0004600	ahos|F4B822	
OG0004601	ahos|F4B887	
OG0004602	ahos|F4B733	
OG0004603	ahos|F4B9C3	
OG0004604	ahos|F4BA79	
OG0004605	ahos|F4B5U1	
OG0004606	ahos|F4B7J4	
OG0004607	ahos|F4B997	
OG0004608	ahos|F4BA84	
OG0004609	ahos|F4B3X9	
OG0004610	ahos|F4B681	
OG0004611	ahos|F4B8T6	
OG0004612	ahos|F4B9F6	
OG0004613	ahos|F4B942	
OG0004614	ahos|F4B7Z4	
OG0004615	ahos|F4B912	
OG0004616	ahos|F4B8P2	
OG0004617	ahos|F4B7A7	
OG0004618	ahos|F4B455	
OG0004619	ahos|F4B6F6	
OG0004620	ahos|F4B5J8	
OG0004621	ahos|F4B8B2	
OG0004622	ahos|F4B953	
OG0004623	ahos|F4B7X8	
OG0004624	ahos|F4B9B4	
OG0004625	ahos|F4B437	
OG0004626	ahos|F4B6E0	
OG0004627	ahos|F4B4M9	
OG0004628	ahos|F4B8J1	
OG0004629	ahos|F4B3Y5	
OG0004630	ahos|F4B430	
OG0004631	ahos|F4B6M6	
OG0004632	ahos|F4B9U0	
OG0004633	ahos|F4B8W0	
OG0004634	ahos|F4B5D2	
OG0004635	ahos|F4B3W3	
OG0004636	ahos|F4B6U6	
OG0004637	ahos|F4B3T0	
OG0004638	ahos|F4B9R2	
OG0004639	ahos|F4B9X2	
OG0004640	ahos|F4B9K7	
OG0004641	ahos|F4BA67	
OG0004642	ahos|F4B6T6	
OG0004643	ahos|F4B5X3	
OG0004644	ahos|F4B6V0	
OG0004645	ahos|F4B8N9	
OG0004646	ahos|F4B5V1	
OG0004647	ahos|F4B608	
OG0004648	ahos|F4B6K1	
OG0004649	ahos|F4B6U0	
OG0004650	ahos|F4B4T0	
OG0004651	ahos|F4BA69	
OG0004652	ahos|F4B807	
OG0004653	ahos|F4B8J5	
OG0004654	ahos|F4B4P2	
OG0004655	ahos|F4B5I1	
OG0004656	ahos|F4B8Q0	
OG0004657	ahos|F4B3Z3	
OG0004658	ahos|F4BA21	
OG0004659	ahos|F4B811	
OG0004660	ahos|F4B561	
OG0004661	ahos|F4B7Y8	
OG0004662	ahos|F4B555	
OG0004663	ahos|F4B5B6	
OG0004664	ahos|F4B7Y6	
OG0004665	ahos|F4B435	
OG0004666	ahos|F4B3L8	
OG0004667	ahos|F4B931	
OG0004668	ahos|F4B3Q0	
OG0004669	ahos|F4B9P2	
OG0004670	ahos|F4B8F7	
OG0004671	ahos|F4B7G0	
OG0004672	ahos|F4B6C6	
OG0004673	ahos|F4B8G9	
OG0004674	ahos|F4B8Q8	
OG0004675	ahos|F4B8X8	
OG0004676	ahos|F4B3S6	
OG0004677	ahos|F4B864	
OG0004678	ahos|F4B3T5	
OG0004679	ahos|F4B9T0	
OG0004680	ahos|F4B8L3	
OG0004681	ahos|F4B6Z0	
OG0004682	ahos|F4B9J6	
OG0004683	ahos|F4B3P1	
OG0004684	ahos|F4B9N8	
OG0004685	ahos|F4B880	
OG0004686	ahos|F4B7K5	
OG0004687	ahos|F4B493	
OG0004688	ahos|F4B703	
OG0004689	ahos|F4B3M5	
OG0004690	ahos|F4BA51	
OG0004691	ahos|F4B9K4	
OG0004692	ahos|F4B980	
OG0004693	ahos|F4B7V5	
OG0004694	ahos|F4B4I3	
OG0004695	ahos|F4B7S8	
OG0004696	ahos|F4B3N4	
OG0004697	ahos|F4B8G7	
OG0004698	ahos|F4B6P6	
OG0004699	ahos|F4B847	
OG0004700	ahos|F4B6B4	
OG0004701	ahos|F4B4U6	
OG0004702	ahos|F4B8P7	
OG0004703	ahos|F4B9C7	
OG0004704	ahos|F4BA33	
OG0004705	ahos|F4B4U8	
OG0004706	ahos|F4BA54	
OG0004707	ahos|F4B6E5	
OG0004708	ahos|F4B526	
OG0004709	ahos|F4B744	
OG0004710	ahos|F4B8G6	
OG0004711	ahos|F4B570	
OG0004712	ahos|F4B779	
OG0004713	ahos|F4B7X0	
OG0004714	ahos|F4B411	
OG0004715	ahos|F4B5P0	
OG0004716	ahos|F4B5Z1	
OG0004717	ahos|F4B6I0	
OG0004718	ahos|F4B5F7	
OG0004719	ahos|F4B9F3	
OG0004720	ahos|F4B4P9	
OG0004721	ahos|F4B9W1	
OG0004722	ahos|F4B3Q1	
OG0004723	ahos|F4B584	
OG0004724	ahos|F4B544	
OG0004725	ahos|F4B4Z5	
OG0004726	ahos|F4B8G3	
OG0004727	ahos|F4B4A7	
OG0004728	ahos|F4B737	
OG0004729	ahos|F4B8S5	
OG0004730	ahos|F4B8W4	
OG0004731	ahos|F4B8X1	
OG0004732	ahos|F4B610	
OG0004733	ahos|F4B5I5	
OG0004734	ahos|F4B869	
OG0004735	ahos|F4B9Y3	
OG0004736	ahos|F4B4V5	
OG0004737	ahos|F4B8M0	
OG0004738	ahos|F4B9P9	
OG0004739	ahos|F4B5J4	
OG0004740	ahos|F4B581	
OG0004741	ahos|F4B835	
OG0004742	ahos|F4B7K9	
OG0004743	ahos|F4B5K6	
OG0004744	ahos|F4B946	
OG0004745	ahos|F4B3T6	
OG0004746	ahos|F4B4Y8	
OG0004747	ahos|F4B8M8	
OG0004748	ahos|F4B6S3	
OG0004749	ahos|F4B941	
OG0004750	ahos|F4B5S6	
OG0004751	ahos|F4B9Q3	
OG0004752	ahos|F4B3R3	
OG0004753	ahos|F4B5Z8	
OG0004754	ahos|F4B7B2	
OG0004755	ahos|F4B749	
OG0004756	ahos|F4B8M9	
OG0004757	ahos|F4B468	
OG0004758	ahos|F4B4K6	
OG0004759	ahos|F4B4X4	
OG0004760	ahos|F4B4M5	
OG0004761	ahos|F4B7J0	
OG0004762	ahos|F4B8K5	
OG0004763	ahos|F4B8H1	
OG0004764	ahos|F4B6F2	
OG0004765	ahos|F4B670	
OG0004766	ahos|F4B4W4	
OG0004767	ahos|F4B573	
OG0004768	ahos|F4B4L6	
OG0004769	ahos|F4B7A2	
OG0004770	ahos|F4B7D8	
OG0004771	ahos|F4B7P4	
OG0004772	ahos|F4B9T8	
OG0004773	ahos|F4B9B8	
OG0004774	ahos|F4B559	
OG0004775	ahos|F4B799	
OG0004776	ahos|F4B420	
OG0004777	ahos|F4B5U4	
OG0004778	ahos|F4B6V4	
OG0004779	ahos|F4B9V7	
OG0004780	ahos|F4B9R6	
OG0004781	ahos|F4B3L1	
OG0004782	ahos|F4B3Y9	
OG0004783	ahos|F4B6W0	
OG0004784	ahos|F4B786	
OG0004785	ahos|F4B587	
OG0004786	ahos|F4B5G7	
OG0004787	ahos|F4B5M0	
OG0004788	ahos|F4B8T1	
OG0004789	ahos|F4B8T7	
OG0004790	ahos|F4B9D3	
OG0004791	ahos|F4B527	
OG0004792	ahos|F4B790	
OG0004793	ahos|F4B6C2	
OG0004794	ahos|F4B3M8	
OG0004795	ahos|F4B8N1	
OG0004796	ahos|F4B6P0	
OG0004797	ahos|F4B9E2	
OG0004798	ahos|F4B9G6	
OG0004799	ahos|F4B9S7	
OG0004800	ahos|F4B7R1	
OG0004801	ahos|F4B9N0	
OG0004802	ahos|F4B6Q4	
OG0004803	ahos|F4B7N8	
OG0004804	ahos|F4B5K1	
OG0004805	ahos|F4B4H8	
OG0004806	ahos|F4B9W9	
OG0004807	ahos|F4BA63	
OG0004808	ahos|F4B883	
OG0004809	ahos|F4B5T0	
OG0004810	ahos|F4B9S8	
OG0004811	ahos|F4B8Y1	
OG0004812	ahos|F4B6X1	
OG0004813	ahos|F4B9K0	
OG0004814	ahos|F4B6A6	
OG0004815	ahos|F4B875	
OG0004816	ahos|F4B4T3	
OG0004817	ahos|F4B7L2	
OG0004818	ahos|F4B4J2	
OG0004819	ahos|F4B513	
OG0004820	ahos|F4B5D6	
OG0004821	ahos|F4B5Y3	
OG0004822	ahos|F4B3W7	
OG0004823	ahos|F4B3Q4	
OG0004824	ahos|F4B3W0	
OG0004825	ahos|F4B810	
OG0004826	ahos|F4B477	
OG0004827	ahos|F4B3R8	
OG0004828	ahos|F4B5T8	
OG0004829	ahos|F4B6K4	
OG0004830	ahos|F4B9Q0	
OG0004831	ahos|F4B7T4	
OG0004832	ahos|F4B5E4	
OG0004833	ahos|F4B8A7	
OG0004834	ahos|F4B3V4	
OG0004835	ahos|F4B5C7	
OG0004836	ahos|F4B895	
OG0004837	ahos|F4B623	
OG0004838	ahos|F4B4R2	
OG0004839	ahos|F4B534	
OG0004840	ahos|F4B4W0	
OG0004841	ahos|F4B7M3	
OG0004842	ahos|F4B516	
OG0004843	ahos|F4B6P1	
OG0004844	ahos|F4B9G7	
OG0004845	ahos|F4B973	
OG0004846	ahos|F4B9N9	
OG0004847	ahos|F4B7Q0	
OG0004848	ahos|F4B7A6	
OG0004849	ahos|F4B661	
OG0004850	ahos|F4B4G1	
OG0004851	ahos|F4B7I3	
